experiment_group,experiment_id,kind,direction,w_min,w_max,num_steps,seed,prompt_id,prompt_text,params,notes,bucket,worker_id
EXP_C_EXTREME_TRADEOFF_COLORS,4c6be3aad94e,baseline,increasing,1.0,2.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,34391b7b795b,baseline,increasing,1.0,2.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,5ca411ca4ab4,baseline,increasing,1.0,2.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,d43f647f484e,baseline,increasing,1.0,2.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,44436a01878e,baseline,increasing,1.0,2.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,6d8b77b93ddb,baseline,increasing,1.0,2.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,7714c527f05e,average_constant,increasing,1.0,2.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,7bae4a15a819,average_constant,increasing,1.0,2.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,d7dae55fc5bf,average_constant,increasing,1.0,2.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,67f41f10d440,average_constant,increasing,1.0,2.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,684e991ee6de,average_constant,increasing,1.0,2.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,7f74505da48d,average_constant,increasing,1.0,2.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,ec5c6c4218f0,average_constant,increasing,1.0,12.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,def5abd985d2,average_constant,increasing,1.0,12.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,ff96dabf4865,average_constant,increasing,1.0,12.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,ae929466b597,average_constant,increasing,1.0,12.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,289500d33b14,average_constant,increasing,1.0,12.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,9d5b8c1c8c82,average_constant,increasing,1.0,12.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,deb19ec09fc3,average_constant,increasing,7.0,50.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,675178c56110,average_constant,increasing,7.0,50.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,f5e2833b5062,average_constant,increasing,7.0,50.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,4dc746abc9e3,average_constant,increasing,7.0,50.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,c58b7379515d,average_constant,increasing,7.0,50.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,a73ea73fb67d,average_constant,increasing,7.0,50.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,3b7e4e47b038,average_constant,increasing,7.0,100.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,c9b3580c87e3,average_constant,increasing,7.0,100.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,dec65bb2ff8d,average_constant,increasing,7.0,100.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,e8470ed365ae,average_constant,increasing,7.0,100.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,e0e0f7134568,average_constant,increasing,7.0,100.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,f031e2716256,average_constant,increasing,7.0,100.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,70bcc38c0935,constant,increasing,1.0,2.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,b97fd49f4a88,constant,increasing,1.0,2.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,5f695d9d8514,constant,increasing,1.0,2.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,4f2908b2810a,constant,increasing,1.0,2.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,902e94ca7bac,constant,increasing,1.0,2.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,41a5fd6dfbbf,constant,increasing,1.0,2.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,49e957bf286a,constant,increasing,1.0,12.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,269c7a91eac9,constant,increasing,1.0,12.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,0a3f68dda81b,constant,increasing,1.0,12.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,73dcb7a96d79,constant,increasing,1.0,12.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,0d3eaeab4013,constant,increasing,1.0,12.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,ce533f86679f,constant,increasing,1.0,12.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,05fa7bf5aa1b,constant,increasing,7.0,50.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,76a0264d1179,constant,increasing,7.0,50.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,97073a65dbfd,constant,increasing,7.0,50.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,5210d0b7d70d,constant,increasing,7.0,50.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,a9cbbd580316,constant,increasing,7.0,50.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,04556bba50cc,constant,increasing,7.0,50.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,e617e0a1a296,constant,increasing,7.0,100.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,097bb5f400e2,constant,increasing,7.0,100.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,0d067e533f1b,constant,increasing,7.0,100.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,42df62c50ee5,constant,increasing,7.0,100.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,a83e598c50a2,constant,increasing,7.0,100.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,e01f910f92e3,constant,increasing,7.0,100.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,f12b274782e0,linear,increasing,1.0,2.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,2898e9b64f18,linear,increasing,1.0,2.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,f3b5fc291b8a,linear,increasing,1.0,2.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,528f6dcc5dce,linear,increasing,1.0,2.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,9e28d8996fb3,linear,increasing,1.0,2.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,c21573790cf5,linear,increasing,1.0,2.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,8a5323864950,linear,increasing,1.0,12.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,b513b8bb310e,linear,increasing,1.0,12.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,248692e52e1a,linear,increasing,1.0,12.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,a9e43a99b4f4,linear,increasing,1.0,12.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,184ee0593852,linear,increasing,1.0,12.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,a7795602e03c,linear,increasing,1.0,12.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,4a4d8217514d,linear,increasing,7.0,50.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,409bb4838e2f,linear,increasing,7.0,50.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,cd2e421e8cd3,linear,increasing,7.0,50.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,f88dc09b53eb,linear,increasing,7.0,50.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,cbc92f790534,linear,increasing,7.0,50.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,6eec7dc2a17a,linear,increasing,7.0,50.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,685a92901cd5,linear,increasing,7.0,100.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,be33887f8da9,linear,increasing,7.0,100.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,7fcb3a24a8e4,linear,increasing,7.0,100.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,d0ec791cb091,linear,increasing,7.0,100.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,d71265fc0712,linear,increasing,7.0,100.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,1215d3a03262,linear,increasing,7.0,100.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,9cc3f1b6ad09,linear,decreasing,1.0,2.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,764d49dfed92,linear,decreasing,1.0,2.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,d71d3337f20a,linear,decreasing,1.0,2.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,b4b91766447f,linear,decreasing,1.0,2.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,7cac184d39e1,linear,decreasing,1.0,2.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,bf28eec33539,linear,decreasing,1.0,2.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,09b303d3edbf,linear,decreasing,1.0,12.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,0ddba23b3a63,linear,decreasing,1.0,12.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,9f0a5db351ff,linear,decreasing,1.0,12.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,700263a16673,linear,decreasing,1.0,12.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,03c3d8c76e75,linear,decreasing,1.0,12.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,ae4c7f15829c,linear,decreasing,1.0,12.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,953e2f020325,linear,decreasing,7.0,50.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,024025a06098,linear,decreasing,7.0,50.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,644af7539f97,linear,decreasing,7.0,50.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,8d485146fdb5,linear,decreasing,7.0,50.0,40,1337,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,5c0d0015908d,linear,decreasing,7.0,50.0,40,42,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,0
EXP_C_EXTREME_TRADEOFF_COLORS,fdc5c1942e3d,linear,decreasing,7.0,50.0,40,1337,P_CAR_HYDRANT_COLORS,A green sports car parked next to a red fire hydrant.,{},tradeoff demo,checkable-details,1
EXP_C_EXTREME_TRADEOFF_COLORS,5cdf35051d6a,linear,decreasing,7.0,100.0,40,42,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,2
EXP_C_EXTREME_TRADEOFF_COLORS,b822e24cc5b5,linear,decreasing,7.0,100.0,40,1337,P_MUG_BOOK_COLORS,A solid yellow coffee mug resting on a bright blue book.,{},tradeoff demo,checkable-details,3
EXP_C_EXTREME_TRADEOFF_COLORS,74e866e5be09,linear,decreasing,7.0,100.0,40,42,P_HAT_JACKET_COLORS,A man wearing a bright purple beanie and a neon orange winter jacket.,{},tradeoff demo,checkable-details,0
